year,toy_num,model_name,series,photo_url
1983,3257,Front Runnin' Fairmont,,https://static.wikia.nocookie.net/hotwheels/images/d/de/Front_Runnin%27_Faimont_.JPG/revision/latest?cb=20081221202624
1983,3259,Jeep CJ-7,,https://static.wikia.nocookie.net/hotwheels/images/5/50/Roll_Patrol_WhitFrm.JPG/revision/latest?cb=20091028144053
1983,3260,Land Lord,,https://static.wikia.nocookie.net/hotwheels/images/b/b3/Landlord.jpg/revision/latest?cb=20081222160416
1983,9037,Malibu Grand Prix,,https://static.wikia.nocookie.net/hotwheels/images/e/e2/Formula_P.A.C.K._redbluBW.JPG/revision/latest?cb=20081207225442
1983,3261,Mercedes 380 SEL,,https://static.wikia.nocookie.net/hotwheels/images/0/0b/Mercedes_380_GryGHO.JPG/revision/latest?cb=20090314153357
1983,3911,Mercedes 540K,,https://static.wikia.nocookie.net/hotwheels/images/6/63/Mercedes_540K_-_5375ef.jpg/revision/latest?cb=20090612150917
1983,5180,Porsche 928,Hot Ones,https://static.wikia.nocookie.net/hotwheels/images/4/42/P928_RedGW.JPG/revision/latest?cb=20090313204529
1983,2023,Pepsi Challenger,,https://static.wikia.nocookie.net/hotwheels/images/4/4f/Pepsi_Challenger.jpg/revision/latest?cb=20081109201425
1983,3281,Peugeot 505,,https://static.wikia.nocookie.net/hotwheels/images/4/4f/Peugeot_505_Blu.JPG/revision/latest?cb=20090116180759
1983,3256,Rapid Transit,,https://static.wikia.nocookie.net/hotwheels/images/e/e7/Rapid_Transit_WhtBlu.JPG/revision/latest?cb=20090218220147
1983,2019,Sheriff Patrol,,https://static.wikia.nocookie.net/hotwheels/images/a/a2/Sheriff_Patrol_-_8245cf.jpg/revision/latest?cb=20090415234213
1983,3251,Sunagon,,https://static.wikia.nocookie.net/hotwheels/images/2/22/Sunagon_Org.JPG/revision/latest?cb=20090104194326
1983,5181,Taxi,,https://static.wikia.nocookie.net/hotwheels/images/3/30/Taxi_82.JPG/revision/latest?cb=20091020025024
1983,3912,Trash Truck,Workhorses,https://static.wikia.nocookie.net/hotwheels/images/b/b7/Trash_Truck_Lft.JPG/revision/latest?cb=20090110220107
1983,Malaysia,Greased Gremlin,Red,https://static.wikia.nocookie.net/hotwheels/images/6/6b/Greased_Gremlin_package_front.png/revision/latest?cb=20160916183035
1983,Malaysia,'37 Bugatti,Yellow,https://static.wikia.nocookie.net/hotwheels/images/e/e6/37_Bugatti_Yelbw.JPG/revision/latest?cb=20091021215143
1983,Hong Kong,Malibu Grand Prix,Black,https://static.wikia.nocookie.net/hotwheels/images/e/e2/Formula_P.A.C.K._redbluBW.JPG/revision/latest?cb=20081207225442
1983,Malaysia,Stutz Blackhawk,Black,https://static.wikia.nocookie.net/hotwheels/images/6/6f/Stutz_Blackhawk_Blk.JPG/revision/latest?cb=20090118035440
1983,Malaysia,Turismo,Red,https://static.wikia.nocookie.net/hotwheels/images/5/55/Turismo_Blk.JPG/revision/latest?cb=20090116174148
1983,Malaysia,Upfront 924,Black,https://static.wikia.nocookie.net/hotwheels/images/0/0f/Upfront_924_Blk_R.JPG/revision/latest?cb=20090919214022
1983,Malaysia,Stagefright,Brown,https://static.wikia.nocookie.net/hotwheels/images/e/e5/Stagefright_package_front.png/revision/latest?cb=20160923160715
1983,Malaysia,Old Number 5,Red,https://static.wikia.nocookie.net/hotwheels/images/d/de/Old_number_5.png/revision/latest?cb=20130808201053
1983,Malaysia,Spacer Racer,Pearl Red,https://static.wikia.nocookie.net/hotwheels/images/3/36/Spacer_Racer_package_front.png/revision/latest?cb=20160929094713
1983,Malaysia,Mustang Stocker,Enamel White,https://static.wikia.nocookie.net/hotwheels/images/e/e6/Mustang_Stocker-17589.jpg/revision/latest?cb=20140724041855
1983,Hong Kong,Turbo Mustang,Yellow,[]
1983,Hong Kong,Turbo Mustang,Red,[]
1983,Hong Kong,Battle Tank,Olive,https://static.wikia.nocookie.net/hotwheels/images/a/af/Toughcustomer.jpg/revision/latest?cb=20080414052942
1983,Hong Kong,Megadestroyer 1,Tan,https://static.wikia.nocookie.net/hotwheels/images/7/73/Super_Cannon_TanOrg.JPG/revision/latest?cb=20091011003824
1983,Hong Kong,Megadestroyer 2,Black,https://static.wikia.nocookie.net/hotwheels/images/c/cf/Mega_force_black.jpg/revision/latest?cb=20130130173547
1983,Malaysia,Personnel Carrier,White,https://static.wikia.nocookie.net/hotwheels/images/5/53/Personnel_Carrier-22294.jpg/revision/latest?cb=20150401232000
1983,Malaysia,Personnel Carrier,White,[]
1983,Hong Kong,Tac-Com,Tan,https://static.wikia.nocookie.net/hotwheels/images/1/1a/Tac-Com.JPG/revision/latest?cb=20081219214427
1983,BW,-,1982,[]
1984,3919,'40's Ford 2-Door,,[]
1984,3928,'80's Corvette,,[]
1984,3918,'80s Firebird,Hot Ones,[]
1984,3925,'82 Supra,,[]
1984,4368,Beach Patrol,,[]
1984,3923,Classic Cobra,,[]
1984,3920,Classic Packard,,[]
1984,3288,Ford Escort,,[]
1984,3915,Formula Fever,,[]
1984,3768,Long Shot,,[]
1984,2522,NASCAR Stocker,,[]
1984,3917,Pontiac J-2000,,[]
1984,3917,Rig Wrecker,,[]
1984,3924,Thunder Roller,Workhorses,[]
1984,3914,Turbo Streak,,[]
1984,3919,'40's Ford 2-Door,,[]
1984,3919,'40's Ford 2-Door,,[]
1984,3289,BMW M1,,[]
1984,4356,Cadillac Seville,,[]
1984,3923,Classic Cobra,,[]
1984,3923,Classic Cobra,,[]
1984,3915,Formula Fever,,[]
1984,3915,Formula Fever,,[]
1984,4370,Jeep Scrambler,,[]
1984,4370,Jeep Scrambler,,[]
